epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0707,0.97952,2.93446,1.13053,0.00342,1,0.60241,0.44525,0.93251,2.77999,0.99296,0.000539324,0.000539324,0.000539324
2,31.0039,1.08065,1.98073,1.16222,0.75306,0.17291,0.57085,0.38711,1.00683,2.59705,1.14725,0.00106789,0.00106789,0.00106789
3,42.7106,1.05173,1.7427,1.16408,0.79426,0.69094,0.77933,0.50407,1.13802,1.81501,1.23999,0.00156895,0.00156895,0.00156895
4,54.3499,1.11462,1.6574,1.20878,0.83999,0.76705,0.87724,0.62495,1.1174,1.49758,1.24096,0.00154323,0.00154323,0.00154323
5,65.8612,1.05081,1.47742,1.15738,0.89591,0.7005,0.85995,0.62606,1.08039,1.57236,1.28161,0.00150197,0.00150197,0.00150197
6,77.2877,1.02276,1.35812,1.13979,0.92425,0.83631,0.92018,0.66891,1.03984,1.34979,1.14798,0.00146071,0.00146071,0.00146071
7,89.0922,0.98736,1.17207,1.10637,0.94787,0.82975,0.93776,0.7075,0.90884,1.10747,1.08584,0.00141945,0.00141945,0.00141945
8,100.403,0.97172,1.13512,1.10525,0.96282,0.94286,0.97905,0.78182,0.8713,0.86218,1.05332,0.00137819,0.00137819,0.00137819
9,111.282,0.93757,1.02458,1.10233,0.9774,0.88256,0.97048,0.77652,0.84592,0.70745,1.06074,0.00133693,0.00133693,0.00133693
10,122.677,0.91064,0.97573,1.10066,0.86884,0.93417,0.96292,0.744,0.90389,0.8291,1.06948,0.00129568,0.00129568,0.00129568
11,134.007,0.90751,0.96756,1.08891,0.95673,0.96284,0.98053,0.75862,0.86138,0.73054,1.02077,0.00125442,0.00125442,0.00125442
12,145.628,0.88497,0.92088,1.07609,0.95681,0.81502,0.91564,0.74413,0.78658,0.96168,0.98943,0.00121316,0.00121316,0.00121316
13,156.949,0.87919,0.88046,1.06224,0.96711,0.898,0.97114,0.78176,0.84176,0.71396,1.01684,0.0011719,0.0011719,0.0011719
14,168.426,0.81652,0.78175,1.0325,0.92638,0.8575,0.94112,0.74125,0.88239,0.76199,1.03355,0.00113064,0.00113064,0.00113064
15,179.961,0.81428,0.79113,1.0419,0.91884,0.9589,0.97154,0.77877,0.80897,0.68404,0.99505,0.00108938,0.00108938,0.00108938
